psc;ZUJ;ZUJ_pravdepodobnost
94342;503185;0.673968253968254
94304;582361;1.0
94301;503584;1.0
94201;503592;1.0
94162;503371;0.4482988659106071
94162;503266;0.5517011340893929
94151;503487;1.0
94150;503134;1.0
94149;503053;1.0
94148;503479;1.0
94147;503495;1.0
94146;503606;1.0
94145;503363;1.0
94144;556025;0.20680628272251309
94144;503193;0.7931937172774869
94143;503151;1.0
94142;503631;1.0
94141;503070;1.0
94137;503550;1.0
94136;503517;1.0
94135;503169;1.0
94134;503215;1.0
94133;503274;1.0
94132;503533;0.8156766687078996
94132;503118;0.18432333129210043
94131;503177;0.8961993546073862
94131;503096;0.10380064539261384
94123;503029;0.4317637669592977
94123;503649;0.5682362330407024
94122;503649;1.0
94121;503291;1.0
94111;503452;1.0
94110;503509;0.1388929458156857
94110;503223;0.10413319702059295
94110;503614;0.7569738571637213
94107;503380;1.0
94106;503282;1.0
94105;503126;1.0
94104;503398;1.0
94103;556050;1.0
94102;503321;0.9560853199498118
94101;503045;1.0
94002;503011;1.0
95133;500241;1.0
95132;555878;1.0
95131;500739;1.0
92705;504025;0.9586803041274439
92705;503720;0.04131969587255612
92701;504025;1.0
92591;503886;1.0
92585;503932;1.0
92584;504165;1.0
92583;504190;1.0
92582;504068;1.0
92581;503711;1.0
92572;503991;1.0
92571;504092;1.0
97242;505340;0.055763546798029556
95638;556327;0.1141732283464567
95638;505251;0.14654418197725283
95632;505439;0.34967320261437906
95631;556351;0.17062737642585551
95631;556149;0.8293726235741445
95622;505226;0.11035714285714286
95622;505617;0.16285714285714287
95622;505374;0.7267857142857143
95621;581704;0.15084134615384615
95621;505561;0.14623397435897437
95621;556157;0.36157852564102566
95619;543101;1.0
95617;505498;1.0
95616;505242;0.6115226337448559
95616;556297;0.388477366255144
95615;543071;1.0
95614;505285;0.6033848417954378
95614;505510;0.39661515820456217
95613;543063;0.3720529039677976
95613;542971;0.6279470960322024
95612;505404;0.6036734693877551
95612;542661;0.14857142857142858
95612;543039;0.24775510204081633
95611;542938;0.36492774920401666
95611;556262;0.19568944403624786
95611;505048;0.4393828067597355
95608;542938;0.8036677454153183
95608;542792;0.19633225458468176
95607;505714;0.6747915330339962
95607;505137;0.17479153303399614
95607;542695;0.0782552918537524
95607;505064;0.07216164207825529
95606;556220;0.1643835616438356
95606;505536;0.41579371474617244
95606;556211;0.26994359387590655
95606;556238;0.1498791297340854
95605;505421;0.6052547260493432
95605;505234;0.39474527395065684
95603;543110;0.23443815683104285
95603;542881;0.274858528698464
95603;542954;0.49070331447049315
95602;505641;1.0
95601;542717;0.5103170608958228
95601;505021;0.07926522395571213
95601;542709;0.08706592853548062
95601;505676;0.18822345244086564
95503;504998;1.0
95501;505773;0.01912647219280511
95501;505749;0.0168158916594461
95501;556165;0.027277686852154936
95501;581658;0.031257019992939894
95501;504998;0.8102756650941882
95501;580457;0.04775199768941946
95501;581305;0.03128911138923655
92505;505757;0.23845108695652173
97227;500607;0.27881396461023433
96801;517305;0.10875358753587536
96654;517305;1.0
95305;500151;0.08906512124447155
95305;500968;0.9109348787555285
95301;500551;0.04117601785576849
95301;500968;0.9194181482336643
95301;500127;0.03940583391056723
95197;582816;1.0
95196;500364;1.0
95195;500658;1.0
95194;500283;1.0
95193;500828;0.7106438896189224
95193;500500;0.2893561103810775
95192;500461;0.5696821515892421
95192;500984;0.43031784841075793
95191;500542;0.24603914259086673
95191;500305;0.3494874184529357
95191;500976;0.0983224603914259
95187;500925;1.0
95185;500721;1.0
95182;555916;0.3491666666666667
95182;555924;0.2775
95182;555932;0.37333333333333335
95181;500585;1.0
95177;500437;0.6878402903811253
95177;500429;0.3121597096188748
